Product Name,Price,Brand Name,Category,MRP,Rating,Reviews,Product URL,Discount_percent
Leriya Fashion Women Rayon Kurta Sets | Floral Regular Kurta with Palazzo | Printed Straight Sleeveless Kurti With Pant Set,479.0,Leriya Fashion,Kurtas & Kurtis,1999.0,4.7,26.0,https://www.amazon.in/Leriya-Fashion-Kurta-Set-Women/dp/B0DY7T9TZT/ref=sr_1_12?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-12,76.04
GRECIILOOKS Women's Rayon Printed Kurta Set || Co Ord Set Ethnic Wear,499.0,GRECIILOOKS,Kurtas & Kurtis,1999.0,4.7,24.0,https://www.amazon.in/GRECIILOOKS-Printed-Regular-GL-W2131-TR1098_Pink_XL/dp/B0DH29MWGY/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-13,75.04
LookMark Women's Cotton Blend Kurta Set: Fashion Fusion At Its Finest! Experience The Perfect Blend Of Fashion And Tradition With Our Printed Sets!,499.0,LookMark,Kurtas & Kurtis,2599.0,5.0,10.0,https://www.amazon.in/LookMark-Kurta-Set-Experience-Tradition/dp/B0D2V13F9J/ref=sr_1_14?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-14,80.8
Adhishree trends Women's 100% Pure Cotton Full Printed Straight Kurti – Comfortable & Stylish Ethnic Wear,432.0,Adhishree trends,Kurtas & Kurtis,899.0,5.0,10.0,https://www.amazon.in/Adhishree-trends-Womens-Printed-Straight/dp/B0DWXN7MDT/ref=sr_1_15?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-15,51.95
Yashika Women Women's Trendy Printed Straight Cotton Blend Kurta Pant Set,499.0,Yashika,Kurtas & Kurtis,2599.0,4.5,73.0,https://www.amazon.in/Yashika-Womens-Printed-Sraight-AZ-YS-P1-KS2072-S/dp/B0CT3GPKJP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-16,80.8
Priyashi Women's Printed Cotton Blend Kurta & Afghani Pant Set - Trendy Ethnic Ensemble for Stylish Comfort & Chic Appeal,498.0,Priyashi,Kurtas & Kurtis,2599.0,4.6,30.0,https://www.amazon.in/Priyashi-Womens-Cotton-Regular-AZ-PY-OG-KS2070-L_Grey/dp/B0CT2NV5Y8/ref=sr_1_17?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-17,80.84
ANNI DESIGNER Women's Summer Floral Kurta Sets for Women | Cotton Kurta Set for Women | Kurti Set for Women | Stylish Cotton Blend Kurtis & Pant Co-Ord Set,499.0,ANNI DESIGNER,Kurtas & Kurtis,2599.0,4.5,51.0,https://www.amazon.in/ANNI-DESIGNER-Viscose-UZMA-Green_M_Green_Medium/dp/B0F48ZPP4Z/ref=sr_1_18?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-18,80.8
Women's Real Mirror Cotton Heavy Embroidery Work Kurti,439.0,Kontaii,Kurtas & Kurtis,1999.0,5.0,9.0,https://www.amazon.in/Womens-Mirror-Embroidery-Regular-Mustard/dp/B0F9PN8SB4/ref=sr_1_19?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-19,78.04
"Adhishree trends Women Short Kurti Regular Fit Kurta with 3/4th Sleeves, Mandarin Collar, Side Slit Perfect for Casual, Formal, and Ethnic Wear",482.0,Adhishree trends,Kurtas & Kurtis,899.0,5.0,9.0,https://www.amazon.in/Adhishree-trends-Womens-Cotton-Short/dp/B0DVLPGG6Y/ref=sr_1_20?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-20,46.38
JAIPUR HAND BLOCK Women Cotton Kurti,379.0,JAIPUR HAND BLOCK,Kurtas & Kurtis,1350.0,4.4,308.0,https://www.amazon.in/JAIPUR-HAND-BLOCK-Sleeveless-X-Large/dp/B0C3ZP7Q9S/ref=sr_1_21?dib=eyJ2IjoiMSJ9.ixVIyGWso-XwCF0IsRxcp3H6iNZ7MS_0VGvNNRuLjAqkx-Am-SXEFHI0S6uev5RozjAmWWBrMMrOBVCuk0A2sq_eGZnCwjwjBUZ_o8Z1843JGY6e0gK_OEK9-8qqiSseVuBXLBnxhblM5mqz8HciQVat89jHmV_ovJXalVtaWp38sbILDry8_LJHWFBoSxwDd8eS8MeQHn8XNkaH91ZdYGwVKQRE9oNAJ2nlziobmWd3X1j2GkuFLULQ6NOZ9pTNHgyj5Zn1xiS9y45v7mJ6r7wdX-32zNpi4GDd1onxqUQ.oTGHuQ07RgJcmarq__0LcKJJD9bO4lJ2ijSFdx3hyvk&dib_tag=se&pf_rd_i=1968253031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_s=merchandised-search-3&qid=1755985817&refinements=p_85%3A10440599031%2Cp_36%3A-51000%2Cp_72%3A1318476031&rnid=1318475031&rps=1&s=apparel&sr=1-21,71.93
